줘	줘라, 주세요, 줄래요, 주시겠어요, 주십시오, 줘요
해	하네요, 해요, 합니다, 하다, 한데요
봐	봐라, 볼래, 보겠니, 봐줄래, 봐주겠니
었어	었니, 었냐, 었지
